company,IQ_TOTAL_REV_VAR_targ,IQ_TOTAL_REV_VAR_norm
IQ1002655,358.85352,207.76739367532213
IQ10246536,3.17002,3.8922747946884897
IQ1029971,119.4,102.58269021351038
IQ10524718,19.72131,27.36777003020171
IQ107137171,1.7871549999999998,4.071155528323686
IQ109640450,3.513209,3.5338409666590564
IQ11323051,2.383,-0.7054766416719076
IQ114776342,6.115,6.981480256739303
IQ11518512,1.069358,0.9876910072796932
IQ11791622,118.24011000000002,120.23984346732698
IQ118990719,0.7534770000000001,0.5486286655202548
IQ1216695,2.337353,0.16021898351147001
IQ1268514,1.578766,-13.061581514751595
IQ128628,10.009,8.300068567455838
IQ129852091,1.6725430000000001,0.00795532744018601
IQ135020,601.9326,678.138386681176
IQ13529463,1.945698,0.8325286836345072
IQ13539385,75.746216,70.73876328559803
IQ135647,9.417728,106.29650599186172
IQ135695,3.744558,3.2431279587665927
IQ136714,0.195838,0.5248750341760342
IQ137490,2.47807,2.4460478427867542
IQ138366296,13.721824,11.845881383315628
IQ138613386,1.975934,2.839846630304578
IQ138820134,1.310349,5.244801063963735
IQ139682,0.9161729999999999,2.2703238972869713
IQ140571,2.787548,-0.11461100857320616
IQ1458939,1.493683,1.115927261701131
IQ168505,2.083586,-0.7245190446451488
IQ170228427,104.45,75.80916203457153
IQ1716658,101.30129000000001,92.26591114864507
IQ1789203,23.3565,22.956645499359524
IQ185801,5018.1265,4960.367781959621
IQ1882829,0.905976,1.0815686167940157
IQ20375459,0.9876149999999999,0.38743704331062645
IQ20385945,1.650425,1.2872473433649247
IQ20459861,248.79778,237.74809468702367
IQ206649213,1.121084,0.20041394712524152
IQ20946994,125.02553999999999,148.12863970702062
IQ20990248,0.48108900000000004,1.0522616284193873
IQ217248438,44.10481,41.166441808876954
IQ21770633,8.864817,8.5940426451983
IQ21811775,8.246586,23.85343714863137
IQ22255,162.77917,153.25450609283342
IQ22430517,6.0089999999999995,5.383730242660192
IQ23109814,58.60499599999999,53.83785089623086
IQ23335210,18.844198000000002,13.28169518795707
IQ236761857,1.6905,1.6272101966845298
IQ241402768,3.4914680000000002,3.402054427027508
IQ24225165,96.255,48.40765006711254
IQ24366522,6.264124,10.489032757214716
IQ24657663,0.9302969999999999,0.9326933361328997
IQ2480879,1.197461,8.788991576706508
IQ2573627,0.532354,0.5831065300299088
IQ2581204,1.803777,-0.38443566028001896
IQ26201104,4.691855,2.558775346764264
IQ264319,0.987725,1.0556638884881977
IQ26899546,11.723335,9.3260424517905
IQ27129567,0.488926,0.473187322348565
IQ27773534,354.57473999999996,430.70443631130996
IQ2785704,2.0971740000000003,1.4318207683902529
IQ28326299,29.612057,24.018806453960565
IQ28776252,2.265933,4.1401079545387915
IQ30400320,4.946654,5.774726486532472
IQ304202638,0.867389,1.4151896840430709
IQ31320,1.429259,4.36410291209927
IQ3199016,7.257706,9.720953665010626
IQ32543,1.266679,2.585258014185058
IQ326086730,2.016438,2.1066219090719187
IQ32943,33.10382,1.3971583655101654
IQ336774,5034.8423,3783.924347632953
IQ33710144,13.311599,2.524468021574137
IQ33840529,0.9798290000000001,0.2719320123117086
IQ36416960,0.7518020000000001,-2.808340773172972
IQ364624951,82.59907,98.33846935751274
IQ365034261,47.726757,-8.144069589005824
IQ36732,187.66936,237.0954786643615
IQ384522,3862.58,3096.4393688593627
IQ38777177,3.7829089999999996,6.380840613138446
IQ39347275,357.3114,377.6382170033814
IQ40258315,8.006454,19.714430801197636
IQ412306970,6.977983999999999,8.459145207811503
IQ4155053,0.005083,0.027759775105948847
IQ419303,9.796964,8.514413443040098
IQ419453,0.963407,1.33760722846705
IQ42082419,0.846226,0.9015382197307531
IQ426137,31.570356,53.17984275254034
IQ426193,5.985517,6.610444047143005
IQ426471,430.82404,431.6955851369289
IQ431958482,177.78145,188.4033349187229
IQ4481283,2.8425,2.876849737927671
IQ4481757,99.44622,168.28503279954919
IQ4493068,107.82548500000001,83.78361051675273
IQ4493218,28.014278000000004,27.63885661306577
IQ4550716,31.17868,20.080755117830535
IQ46107232,0.805528,1.4445607645574228
IQ46268435,20.454514,23.22703955298752
IQ46274613,17.07655,20.608270386830327
IQ46476571,4.151959,3.7515573273749965
IQ4803148,4.392639,6.7272346973514345
IQ49121095,0.9981059999999999,0.7383388431206299
IQ49613021,0.7146979999999999,1.943248062540647
IQ50208126,4.0235,3.8215136666834724
IQ51119084,2.174961,1.7118428190465806
IQ5561930,94.99174000000001,64.21133152553713
IQ5669608,47.769220000000004,36.792573494688156
IQ5860866,31.218206,34.52637282560437
IQ596117,3491.847,3128.1568397310593
IQ625637,1.8405,2.2175336436991415
IQ6490450,6.602119,5.026067623419465
IQ6512027,127.70924,130.36849488899318
IQ664155,7.878439999999999,8.389672598497555
IQ671670,504.95465,503.5282925022236
IQ6724933,373.83292,320.8587590624466
IQ679534,157.38644,160.00581146751148
IQ683131,519.9974,518.5580798437238
IQ687140,11949.044,11381.244059997349
IQ697051,5.73798,7.403990528886027
IQ734865,1098.4954,905.4276437469966
IQ7686837,40.696888,73.24592298197305
IQ7686901,5.951052,5.363816450614252
IQ7885356,8.604363000000001,8.223319809455347
IQ789654,28.262384,29.280718997999543
IQ8081296,323.34665,295.1379968456429
IQ8292723,2.259774,3.417049785110862
IQ850025,0.704298,-4.995580776960537
IQ8515825,31.8765,33.607714493466034
IQ874491,1003.14105,1087.1371090294756
IQ875519,338.935,159.53602705635203
IQ875980,4383.5166,3025.610834883049
IQ876847,488.7247,488.3306484039017
IQ877290,76.25,66.05123616259107
IQ879382,257.60275,809.2524096511977
IQ879424,181.41523999999998,148.79133194567845
IQ879555,7936.8325,8513.969839598727
IQ881428,11.714501,11.270604166212593
IQ881470,370.41516,342.339227599393
IQ881495,312.98427999999996,321.00494953600395
IQ881615,21.4165,21.59854965680077
IQ881750,0.8625,1.025289233493595
IQ882086,9.137463,10.14372698570969
IQ882787,40.29234,28.357498096466713
IQ8863787,6.532487000000001,5.779790472124262
IQ9817151,781.9019999999999,872.011782006927
IQ99552165,42.761,40.7202445725589
IQ99715630,4.510019000000001,7.867395292438118
IQ997213,197.17302,253.05952661756496
